cluster,ID_OLIVO,Variedad,cluster_id,proporcion
1,401,36-41,1,0.002110907078968378
2,401,36-41,1,0.01477634922906611
3,401,36-41,1,0.002110907078968378
4,401,36-41,1,0.3778523628327235
5,401,36-41,1,0.01055453540628659
6,401,36-41,1,0.002110906986479081
7,401,36-41,1,0.002110907078968378
8,401,36-41,1,0.002110907078968378
9,401,36-41,1,0.05699449028096516
10,401,36-41,1,0.4327359461198774
11,401,36-41,1,0.01055453530693047
12,401,36-41,1,0.002110907083546257
13,401,36-41,1,0.1540962148214846
14,401,36-41,1,0.002110907083546257
15,401,36-41,1,0.002110906986479081
16,401,36-41,1,0.08654718916216603
17,401,36-41,1,0.0105545352098633
18,401,36-41,1,0.002110907078968378
19,401,36-41,1,0.00211090699105696
20,401,36-41,1,0.04432904822564566
21,401,36-41,1,0.002110907078968378
22,401,36-41,1,0.006332721236905134
23,401,36-41,1,0.03166360583516893
24,401,36-41,1,0.002110906986479081
25,401,36-41,1,0.048550862568561
26,401,36-41,1,0.00211090699105696
27,401,36-41,1,0.03166360580036898
28,401,36-41,1,0.002110907078968378
29,401,36-41,1,0.0696599330482659
30,401,36-41,1,0.02744179156414243
31,401,36-41,1,0.2216452407770485
32,401,36-41,1,0.002110907083546257
33,401,36-41,1,0.01899816324826891
34,401,36-41,1,0.002110907083546257
35,401,36-41,1,0.002110907083546257
36,401,36-41,1,0.002110907078968378
37,401,36-41,1,0.1287653301192868
38,401,36-41,1,0.02744179172347683
39,401,36-41,1,0.06543811863392755
40,401,36-41,1,0.03588541988001593
41,401,36-41,1,0.03588541999539463
42,401,36-41,1,0.01899816334075822
43,401,36-41,1,0.01899816347949216
44,401,36-41,1,0.2638633822639267
45,401,36-41,1,0.1372089590175634
46,401,36-41,1,0.006332721236905134
47,401,36-41,1,0.002110906986479081
48,401,36-41,1,0.002110906986479081
49,401,36-41,1,0.01477634948317874
50,401,36-41,1,0.002110907078968378
51,401,36-41,1,0.0232199776049179
52,401,36-41,1,0.1456525872134804
53,401,36-41,1,0.002110907083546257
54,401,36-41,1,0.002110907078968378
55,401,36-41,1,0.002110906986479081
56,401,36-41,1,0.00211090699105696
57,401,36-41,1,0.002110907078968378
58,401,36-41,1,0.0443290483204239
59,401,36-41,1,0.2554197538944759
60,401,36-41,1,0.1118780740630761
61,401,36-41,1,0.002110907083546257
62,401,36-41,1,0.002110907078968378
63,401,36-41,1,0.002110907083546257
64,401,36-41,1,0.08232537533985235
65,401,36-41,1,0.06965993308306584
66,401,36-41,1,0.2511979404769193
67,401,36-41,1,0.006332721236905134
68,401,36-41,1,0.002110906986479081
69,401,36-41,1,0.002110907083546257
70,401,36-41,1,0.002110907078968378
71,401,36-41,1,0.03166360592079141
72,401,36-41,1,0.04010723400315275
73,401,36-41,1,0.01477634928675545
74,401,36-41,1,0.4242923184193836
75,401,36-41,1,0.0105545352098633
76,401,36-41,1,0.1203217022081704
77,401,36-41,1,0.05277267650900816
78,401,36-41,1,0.08654718944421178
79,401,36-41,1,0.04010723426917593
80,401,36-41,1,0.002110907083546257
81,401,36-41,1,0.002110907078968378
82,401,36-41,1,0.0485508624463155
83,401,36-41,1,0.0274417920494783
84,401,36-41,1,0.03166360558792311
85,401,36-41,1,0.002110906986479081
86,401,36-41,1,0.01055453541773128
