cluster,ID_OLIVO,Variedad,cluster_id,proporcion
1,1,30-65,1,0.0007239927871631325
2,1,30-65,1,0.1309338982772119
3,1,30-65,1,0.1824488746229816
4,1,30-65,1,0.002146457346637911
5,1,30-65,1,0.002146457351047889
6,1,30-65,1,0.002146457351047889
7,1,30-65,1,0.1137622394688288
8,1,30-65,1,0.002146457351047889
9,1,30-65,1,0.02790394553054772
10,1,30-65,1,0.002146457346637911
11,1,30-65,1,0.2683071686053625
12,1,30-65,1,0.06654017780530994
13,1,30-65,1,0.01502520142646538
14,1,30-65,1,0.04078268961919514
15,1,30-65,1,0.002146457346637911
16,1,30-65,1,0.03219686023925846
17,1,30-65,1,0.01073228673318955
18,1,30-65,1,0.002146457346637911
19,1,30-65,1,0.002146457351047889
20,1,30-65,1,0.01073228674862448
21,1,30-65,1,0.002146457346637911
22,1,30-65,1,0.0193181161395861
23,1,30-65,1,0.006439372039913733
24,1,30-65,1,0.002146457346637911
25,1,30-65,1,0.07083309249638077
26,1,30-65,1,0.03648977492371433
27,1,30-65,1,0.1652772158057785
28,1,30-65,1,0.0193181161395861
29,1,30-65,1,0.002146457351047889
30,1,30-65,1,0.002146457346637911
31,1,30-65,1,0.002146457346637911
32,1,30-65,1,0.0150252014419003
33,1,30-65,1,0.01502520145733522
34,1,30-65,1,0.002146457346637911
35,1,30-65,1,0.01931811612856115
36,1,30-65,1,0.01073228674641949
37,1,30-65,1,0.006439372039913733
38,1,30-65,1,0.01073228674641949
39,1,30-65,1,0.01931811613738111
40,1,30-65,1,0.09659058069352049
41,1,30-65,1,0.07512600720729651
42,1,30-65,1,0.002146457346637911
43,1,30-65,1,0.0536614337210725
44,1,30-65,1,0.002146457346637911
45,1,30-65,1,0.006439372039913733
46,1,30-65,1,0.006439372053143666
47,1,30-65,1,0.002146457351047889
48,1,30-65,1,0.1051764100624322
49,1,30-65,1,0.03648977490386943
50,1,30-65,1,0.04507560431467595
51,1,30-65,1,0.006439372053143666
52,1,30-65,1,0.3155292302622664
53,1,30-65,1,0.04507560431467595
54,1,30-65,1,0.002146457346637911
55,1,30-65,1,0.006439372039913733
56,1,30-65,1,0.09659058065162571
57,1,30-65,1,0.0193181161197412
58,1,30-65,1,0.03219686022823353
59,1,30-65,1,0.002146457351047889
60,1,30-65,1,0.04078268961478516
61,1,30-65,1,0.07083309250961069
62,1,30-65,1,0.2811859126477051
63,1,30-65,1,0.130933898255162
64,1,30-65,1,0.04078268963242507
65,1,30-65,1,0.01073228674641949
66,1,30-65,1,0.002146457351047889
67,1,30-65,1,0.002146457346637911
68,1,30-65,1,0.09229766598480976
69,1,30-65,1,0.002146457346637911
70,1,30-65,1,0.002146457346637911
71,1,30-65,1,0.006439372053143666
72,1,30-65,1,0.02361103083947689
73,1,30-65,1,0.006439372048733687
74,1,30-65,1,0.002146457351047889
75,1,30-65,1,0.002146457346637911
