cluster,ID_OLIVO,Variedad,cluster_id,proporcion
1,415,30-65,1,0.003766620259701722
2,415,30-65,1,0.00376662008649884
3,415,30-65,1,0.003766620259701722
4,415,30-65,1,0.003766620251533134
5,415,30-65,1,0.003766620094667428
6,415,30-65,1,0.00376662008649884
7,415,30-65,1,0.03389958154564965
8,415,30-65,1,0.003766620251533134
9,415,30-65,1,0.01883310079115285
10,415,30-65,1,0.003766620094667428
11,415,30-65,1,0.00376662008649884
12,415,30-65,1,0.003766620251533134
13,415,30-65,1,0.003766620251533134
14,415,30-65,1,0.003766620251533134
15,415,30-65,1,0.003766620251533134
16,415,30-65,1,0.003766620251533134
17,415,30-65,1,0.02636634093556047
18,415,30-65,1,0.003766620251533134
19,415,30-65,1,0.003766620251533134
20,415,30-65,1,0.00376662008649884
21,416,30-65,1,0.002593966347692218
22,416,30-65,1,0.02334569786798435
23,416,30-65,1,0.002593966461346739
24,416,30-65,1,0.002593966347692218
25,416,30-65,1,0.002593966461346739
26,416,30-65,1,0.002593966347692218
27,416,30-65,1,0.002593966461346739
28,416,30-65,1,0.002593966461346739
29,416,30-65,1,0.002593966347692218
30,416,30-65,1,0.002593966353317697
31,416,30-65,1,0.002593966461346739
32,416,30-65,1,0.002593966466972219
33,416,30-65,1,0.002593966461346739
34,416,30-65,1,0.002593966466972219
35,416,30-65,1,0.002593966461346739
36,416,30-65,1,0.002593966466972219
37,416,30-65,1,0.002593966353317697
38,416,30-65,1,0.002593966466972219
39,416,30-65,1,0.002593966461346739
40,416,30-65,1,0.002593966466972219
41,416,30-65,1,0.002593966347692218
42,416,30-65,1,0.002593966461346739
43,416,30-65,1,0.002593966461346739
44,416,30-65,1,0.002593966461346739
45,416,30-65,1,0.002593966461346739
46,416,30-65,1,0.002593966461346739
47,416,30-65,1,0.08041295954835835
48,416,30-65,1,0.002593966353317697
49,416,30-65,1,0.002593966461346739
50,416,30-65,1,0.002593966347692218
51,416,30-65,1,0.002593966466972219
52,416,30-65,1,0.01296983232361014
