Rango,Precisión General,Matriz de Confusión,Instancias Totales,Precisión por Clase.AR,Precisión por Clase.NO AR,Precisión por Clase.macro avg,Precisión por Clase.weighted avg,Recall por Clase.AR,Recall por Clase.NO AR,Recall por Clase.macro avg,Recall por Clase.weighted avg,F1 por Clase.AR,F1 por Clase.NO AR,F1 por Clase.macro avg,F1 por Clase.weighted avg
Media,0.9772727272727273,"[[40, 0], [2, 46]]",88,0.9523809523809523,1.0,0.9761904761904762,0.9783549783549784,1.0,0.9583333333333334,0.9791666666666667,0.9772727272727273,0.975609756097561,0.9787234042553191,0.97716658017644,0.9773081096381563
Rango_menos1,1.0,"[[38, 0], [0, 49]]",87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_menos2,1.0,"[[43, 0], [0, 39]]",82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_1,1.0,"[[42, 0], [0, 50]]",92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_2,1.0,"[[43, 0], [0, 43]]",86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_3,1.0,"[[39, 0], [0, 47]]",86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
