Rango,Precisión General,Matriz de Confusión,Instancias Totales,Precisión por Clase.AR,Precisión por Clase.NO AR,Precisión por Clase.macro avg,Precisión por Clase.weighted avg,Recall por Clase.AR,Recall por Clase.NO AR,Recall por Clase.macro avg,Recall por Clase.weighted avg,F1 por Clase.AR,F1 por Clase.NO AR,F1 por Clase.macro avg,F1 por Clase.weighted avg
Media,1.0,"[[39, 0], [0, 41]]",80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_menos1,1.0,"[[39, 0], [0, 44]]",83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_menos2,1.0,"[[41, 0], [0, 39]]",80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_1,1.0,"[[39, 0], [0, 40]]",79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_2,1.0,"[[38, 0], [0, 44]]",82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rango_3,0.9487179487179487,"[[34, 0], [4, 40]]",78,0.8947368421052632,1.0,0.9473684210526316,0.9541160593792173,1.0,0.9090909090909091,0.9545454545454546,0.9487179487179487,0.9444444444444444,0.9523809523809523,0.9484126984126984,0.9489214489214489
