Rango,Precisión General,Matriz de Confusión,Instancias Totales,Precisión por Clase.AR,Precisión por Clase.NO AR,Precisión por Clase.macro avg,Precisión por Clase.weighted avg,Recall por Clase.AR,Recall por Clase.NO AR,Recall por Clase.macro avg,Recall por Clase.weighted avg,F1 por Clase.AR,F1 por Clase.NO AR,F1 por Clase.macro avg,F1 por Clase.weighted avg
Media,0.6875,"[[29, 10], [15, 26]]",80,0.6590909090909091,0.7222222222222222,0.6906565656565656,0.6914457070707071,0.7435897435897436,0.6341463414634146,0.6888680425265792,0.6875,0.6987951807228916,0.6753246753246753,0.6870599280237835,0.6867665467063058
Rango_menos1,0.9036144578313253,"[[39, 0], [8, 36]]",83,0.8297872340425532,1.0,0.9148936170212766,0.9200205075621637,1.0,0.8181818181818182,0.9090909090909092,0.9036144578313253,0.9069767441860465,0.9,0.9034883720930232,0.9032782291958531
Rango_menos2,0.95,"[[41, 0], [4, 35]]",80,0.9111111111111111,1.0,0.9555555555555555,0.9544444444444444,1.0,0.8974358974358975,0.9487179487179487,0.95,0.9534883720930233,0.9459459459459459,0.9497171590194846,0.9498114393463231
Rango_1,0.9367088607594937,"[[39, 0], [5, 35]]",79,0.8863636363636364,1.0,0.9431818181818181,0.9439010356731875,1.0,0.875,0.9375,0.9367088607594937,0.9397590361445783,0.9333333333333333,0.9365461847389558,0.9365055157338215
Rango_2,0.7804878048780488,"[[24, 14], [4, 40]]",82,0.8571428571428571,0.7407407407407407,0.7989417989417988,0.7946831849270873,0.631578947368421,0.9090909090909091,0.770334928229665,0.7804878048780488,0.7272727272727273,0.8163265306122449,0.7717996289424861,0.7750576949183222
Rango_3,0.8076923076923077,"[[25, 9], [6, 38]]",78,0.8064516129032258,0.8085106382978723,0.807481125600549,0.8076131144078982,0.7352941176470589,0.8636363636363636,0.7994652406417113,0.8076923076923077,0.7692307692307693,0.8351648351648352,0.8021978021978022,0.8064243448858834
