ID_OLIVO,Variedad,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19
1,30-65,1.557198161767008,2.119779769610569,1.313401828262144,3.529669416536167,11.98803251475213,9.568408580797644,1.573328927734908,2.203371698850531,1.025774602020923,10.16155943673909,4.625954004697926,3.066385971418292,3.270505904964187,2.568700290166937,2.970886643611522,14.13014507800933,10.56377994314015,11.72657552090522,2.036541706015393
2,30-65,3.446401461956757,1.313368081602449,5.923454494900853,3.598272499477976,13.41075069071694,4.511484225870396,3.311515473816135,2.163129408701868,0.3261416649485367,5.039423309499398,4.40597370772819,5.391951308687775,2.885166928461091,2.841507403569794,2.542519171868669,11.35875302688078,13.96740963199335,11.12590222812455,2.436875281194188
3,30-65,4.408544395134253,1.055003288366349,4.413151937402759,3.086799577197862,1.560002162429203,14.88698120845037,6.750140916355322,4.924795199182476,0.3728079413750252,5.657338101850545,8.972727059047699,9.53736821123021,7.999083017117763,8.078711897483482,1.498470755085796,4.05021443119314,6.989244029387251,2.392485915040598,3.366129956669353
4,30-65,6.016183057677249,2.968779590372967,5.037747098175458,5.470982969059004,3.727025927584225,3.727025927568207,4.755778359009692,4.364696702864167,0.8492279007970939,11.19622529481241,5.135706578159959,7.768535911735882,7.25392563739821,6.284483049291486,4.515875798186793,4.563917384051242,7.004417625397482,6.630155607593953,2.729309580265008
5,42-61,9.602283210864544,0.6368053095419892,6.497640184994236,2.838923689249378,1.173228667595289,1.651210716981595,9.383577270491118,14.1107798527942,0.1303587408323482,1.22632137838474,4.18596401164986,12.06542567914989,10.26937191725863,9.038206031107284,2.291859500109063,3.809372093408689,3.823856397724083,1.419461844795801,5.845353503067143
6,42-61,2.304108210023203,4.967617973845858,6.121192348119951,7.668501949455829,2.386547720324517,2.618078469124581,4.65519899673014,3.488260717783235,2.790992326068555,10.08519540355102,4.811259849521022,8.991534800762741,7.938197107465049,5.569459444949027,7.298662646959658,2.111763974137769,7.844058231651202,5.523662154001538,2.825707675525303
7,42-61,6.176645125988322,2.804627899997401,8.357436803593874,5.038260212483013,1.569689038346773,3.641196822942976,6.71982729813797,5.473366714383776,0.961482262986593,3.258893333677045,5.600297208220186,12.29255200847221,14.1272013446302,10.63052832060957,2.599969557382062,2.970766977898575,4.335713967719791,1.393048839660243,2.048496262868835
8,42-61,4.000516801699694,1.473915817262462,6.778081799635537,2.938448081100264,2.435962535801039,4.551499506551274,8.280753956570432,5.480005404682135,0.3202547751454082,3.693846932180293,4.515087509697263,16.60022899985207,11.04011719932841,9.059304615298135,3.182408454909793,2.858341691003687,7.963303537291877,2.020865780151932,2.807056601837918
9,30-24,3.350627653598891,1.988817515123655,5.251954651587887,2.279970588456926,5.678354696363909,6.89301151652994,4.819982025832261,2.7890163296106,0.6915321566288354,6.628800339972828,3.975843907862822,8.157449353789934,5.38298732767093,4.842033607651688,2.278599131909388,7.97491895734232,13.35458755066511,11.89766311366756,1.763849575734193
10,30-24,1.444530840691411,1.445076036886907,2.971577490274235,3.017680981041403,12.6221783163776,7.689725139599998,1.863013867163532,3.312341088581189,0.333969844832317,4.825704018419607,5.02819178693028,7.344097994321388,5.840055197884504,5.223498550951548,2.712125741625359,11.97115576989575,10.82612199657122,9.280951862041741,2.24800347590956
11,30-24,5.616121307336361,3.034063927752692,5.877859284507849,3.190947148867924,2.62702976466777,8.211187274397169,4.717925609543567,7.090249928113851,1.244313265979815,2.103665435585718,5.625419757485268,10.41871752144516,8.623809750670132,9.008924061449889,3.218143771228509,3.43164359281298,9.290882753256792,3.770772238937391,2.898323605961073
12,30-24,4.554078648410285,1.318265350991147,5.82578378674252,2.073417643939321,2.511849568687248,11.87724262707446,5.512136315502154,3.319004695422162,0.1850727983326465,8.62980527097481,5.733106348949944,9.745976326673047,9.31363373426363,5.13950984299517,1.868725908933006,5.675257692340844,8.50679720601324,6.372486239304948,1.837849994448998
13,33-23,5.041493621758321,2.480570712659487,4.896111867134738,3.181997010241195,7.151917096051845,5.83871197444264,6.331144057394734,3.4035082290035,0.9125903408442784,6.983996047324083,4.22751031374184,7.692351506746584,7.937314765435211,4.40681332053737,3.159459340722283,8.068635279374968,9.098996216471306,7.341321676850391,1.845556623265237
14,33-23,4.287116570773013,2.770431149406075,4.952683624197155,3.934671874444269,5.307309310724133,9.198669810060526,5.125211981034806,5.157385319341596,1.264753928833342,2.837546168824441,7.036432683192999,10.97110455799322,9.341930513111562,6.32012916678785,2.980676172280317,6.919825134402284,7.512857812648203,2.152242193882575,1.92902202806084
15,33-23,2.399964465377631,2.730325472434942,7.036581770159269,4.815163801275909,5.441270226554866,7.53129455152832,5.734053806148578,2.396320993873593,1.703951957213738,6.055790119767751,7.801556317630324,5.639462188092458,7.693451611322784,6.044854837259352,4.850543657168262,9.648345053448844,5.432261500708419,5.080921204473199,1.963886465561112
16,33-23,6.675120486837851,1.580777657301033,9.700145550850914,4.599992207849223,4.684027013732761,5.992047038153691,9.247320584104608,3.177282512363802,0.3128380174212459,7.759655839136506,6.386645257699598,7.95042338778936,5.794747929817403,2.915642400257345,3.339320626725453,5.177274788956674,7.698318969210908,4.669412265146998,2.339007466644107
17,44-40,4.707788043056604,1.702722888440613,3.727776449091597,3.513969325245044,8.95480394943557,4.754330683076348,4.563466751202289,3.728065469540975,0.4677535326960224,9.531024208967498,3.849076333912169,6.990704538356201,7.004667330553134,4.777602003202159,2.432220929352495,7.244361926887774,11.5611917933621,7.97030511123817,2.518168732383361
18,44-40,5.133979937096251,0.5133848020422651,7.355632457069036,1.332340332509043,3.000460327581987,5.743827919878922,7.468703954009022,4.656439049144727,0.06221013195971156,4.291244709880285,3.2136591811063,14.08053013421028,13.26849332013345,5.496141018749015,1.170542145080212,6.580946946175842,8.954366369609184,5.681122376801544,1.995974886962618
19,44-40,6.861508354064995,0.4406090030920888,8.790285976463572,1.529121475463431,2.991759408375184,2.004355685969072,9.08854648242171,4.411150469989691,0.07879530952139852,7.926195945523369,2.028979220209527,14.19300512743157,9.837101923083685,6.855191928275671,1.159135687047786,2.725825238644028,10.29016353101388,6.882277815850371,1.905991417559122
20,44-40,3.077141453009728,3.853428302644324,5.051511801819261,6.879062786489193,3.253093972489617,3.004510744425085,6.510667762765532,5.772062997466308,1.569554509613649,3.225676350663784,6.173946899889463,11.67385081628276,10.78229750883965,8.817533918869708,6.248457949077388,2.31851664446847,5.256101135338187,2.666926644184977,3.865657801663261
21,42-45,5.140514175695528,1.702653936191547,2.83870093601334,5.599869928917526,8.015450165621383,1.522542617231299,3.311480740475433,5.64599926178253,0.108051411528065,3.191417739925063,4.970364938923904,10.51045548681717,8.575352935846833,6.492907551193787,4.374172796540076,3.241542346164851,13.74217497778944,6.453616126075872,4.562731927266412
22,42-45,0.9803442703194536,0.9928908858615779,1.573047470840198,1.229105890815512,17.66329935103498,5.890608036396981,1.530243937743822,3.359470703594639,0.2763861624738321,10.48590314698495,1.835664636451402,3.06038825627717,3.44400238305431,2.827378194059062,1.455499074117261,18.38506222630665,10.2439179796159,13.53163312542629,1.235154268626115
23,42-45,1.730297582561076,1.791611153542554,2.457033167399467,3.869748769021134,6.737232608121476,7.000375523271307,1.784597610456607,3.129838357496099,0.2476639211920383,16.3046955631722,4.368946359920168,3.436336907325524,3.645303340306186,3.382160424112196,3.949773912494222,13.27710802620118,7.78593452830752,12.39896057884435,2.702381666254329
24,42-45,2.275535824064395,0.8174249463685239,6.400906754479764,2.757185456098603,6.005962117277535,10.30738516403723,5.279995920001115,2.521099309727983,0.0,10.76483705639705,5.498340763838818,7.966983555798926,8.03110414801938,4.483098057175457,2.541833805110403,5.851004019928785,8.666966685339121,7.983013703789546,1.847322712546822
